Year,Civillian Labor Force Lvl,Employment Lvl,Unemployment Lvl,Unemployment Rate,Number of Employees Thousands,Weekly Hours All Employees,Weekly Hours Prod/Nonsup,Hourly Earnings,Hourly Earnings Prod/Nonsup,Labor Productivity,Unit Labor Costs,Real Hourly Compensation,Total Factor Productivity,CPI,CPI-W,PPI Commodity Data for Final Demand,Import Price Index,Export Price Index,Employment Cost Index,Wages and Salaries
1974,91975.91666666667,86802.58333333333,86802.58333333333,5.641666666666667,78383.08333333333,,36.43333333333333,,4.437500000000001,-0.65,11.8,-0.925,,49.34166666666667,49.84166666666667,,,,,
1975,93769.83333333333,85830.25,85830.25,8.475,77071.41666666667,,35.97500000000001,,4.738333333333332,3.725,4.95,1.325,,53.89166666666666,54.44166666666667,,,,,
1976,96150.66666666667,88752.5,88752.5,7.699999999999999,79507.41666666667,,36.074999999999996,,5.059166666666666,2.975,5.2,2.925,,57.43333333333333,58.00833333333333,,,,,
1977,98984.16666666667,92017.25,92017.25,7.050000000000001,82599.75,,35.9,,5.4375,0.875,7.025,1.15,,61.025000000000006,61.64166666666666,,,,,
1978,102233.25,96046.16666666667,96046.16666666667,6.066666666666666,86829.08333333333,,35.73333333333333,,5.875833333333333,2.8249999999999993,6.2,1.2750000000000001,,65.48333333333333,66.075,,,,,
1979,104960.58333333333,98825.25,98825.25,5.8500000000000005,89935.5,,35.60000000000001,,6.339166666666667,-1.325,11.45,-0.525,,71.85833333333333,72.45,,,,,
1980,106974.0,99303.33333333333,99303.33333333333,7.175000000000001,90531.58333333333,,35.19166666666667,,6.845833333333334,0.875,10.275000000000002,0.325,,80.78333333333335,81.26666666666668,,,,,
1981,108675.91666666667,100399.58333333333,100399.58333333333,7.616666666666667,91292.16666666667,,35.175000000000004,,7.433333333333334,0.19999999999999996,8.325,-0.32500000000000007,,89.24166666666667,89.75833333333333,,,,,
1982,110244.08333333333,99529.16666666667,99529.16666666667,9.708333333333334,89684.58333333333,,34.725,,7.865000000000001,0.625,6.0249999999999995,1.3499999999999999,,95.85000000000001,96.37499999999999,,79.95,,,
1983,111515.41666666667,100821.66666666667,100821.66666666667,9.6,90288.66666666667,,34.90833333333334,,8.198333333333332,4.475,-0.625,0.024999999999999994,,99.61666666666667,99.94166666666668,,77.775,85.55000000000001,,
1984,113531.83333333333,105002.75,105002.75,7.508333333333334,94542.58333333333,,35.09166666666667,,8.4875,1.55,2.925,0.5750000000000001,,104.54166666666667,103.69166666666668,,78.075,85.575,,
1985,115467.41666666667,107154.0,107154.0,7.191666666666666,97528.66666666667,,34.85,,8.734166666666667,2.35,3.3,2.275,,109.11666666666667,108.19999999999999,,76.275,83.97500000000001,,
1986,117845.58333333333,109600.58333333333,109600.58333333333,7.0,99497.5,,34.683333333333344,,8.924166666666666,2.1999999999999997,3.05,4.075,,113.52499999999999,112.29166666666664,,76.175,83.14999999999999,,
1987,119852.83333333333,112439.33333333333,112439.33333333333,6.175000000000001,102114.41666666667,,34.74166666666667,,9.141666666666666,1.25,2.175,-0.5499999999999999,78.589,118.2,116.79166666666667,,83.55,86.3,,
1988,121670.66666666667,114974.08333333333,114974.08333333333,5.491666666666666,105375.33333333333,,34.583333333333336,,9.435833333333333,0.9500000000000001,4.025,1.15,79.417,123.41666666666667,121.85000000000001,,88.05,92.47500000000001,,
1989,123850.66666666667,117327.0,117327.0,5.258333333333333,108046.83333333333,,34.483333333333334,,9.804166666666669,0.95,2.1,-1.0999999999999996,79.564,128.975,127.27499999999998,,91.13333333333333,94.71666666666668,,
1990,125856.66666666667,118795.66666666667,118795.66666666667,5.616666666666667,109527.83333333333,,34.28333333333333,,10.198333333333332,0.95,5.1,0.32499999999999984,79.59,135.45833333333334,133.29166666666666,,93.99166666666667,95.51666666666665,,
1991,126352.41666666667,117712.58333333333,117712.58333333333,6.8500000000000005,108434.0,,34.091666666666676,,10.5125,3.325,1.75,2.725,79.287,142.10833333333338,139.64166666666668,,94.22500000000001,96.27500000000002,,
