Date,CLFPC,CPI,CPI_12Mo_Change,CPIW,CPIW_12Mo_Change,EP,M2SL,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI),PAYEMS,PCE,PPIAC,PPIAC_1Mo_Change,PPIAC_12Mo_Change,PPIFD,PPIFD_1Mo_Change,PPIFD_12Mo_Change,RESPPNTEPPNWW,RESPPNGNWW,RESPPNNWW,RESPPNONWW,RESPPNSNWW,UMCIE,UMCSENT,Unemployment_Rate,WEI
2000-01-01,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-02,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-03,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-04,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-05,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-06,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-07,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-08,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-09,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-10,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-11,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-12,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-13,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-14,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-15,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-16,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-17,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-18,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-19,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-20,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-21,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-22,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-23,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-24,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-25,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-26,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-27,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-28,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-29,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-30,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-01-31,66.8,168.8,2.7,165.6,2.9,64.6,4667.6,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131011.0,6542.9,128.3,0.4,4.4,,,,,,,,,3.0,112.0,4.0,
2000-02-01,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-02,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-03,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-04,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-05,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-06,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-07,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-08,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-09,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-10,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
2000-02-11,67.0,169.8,3.2,166.5,3.4,64.6,4680.9,-0.210597803,-0.027582915,-0.253030326,0.023956073,1.364355045,0.599117918,131121.0,6625.3,129.8,1.2,6.1,,,,,,,,,2.9,111.3,4.1,
