Series ID,Year,Period,Label,Value,12-Month % Change
CWUR0000SA0,2000,M01,2000 Jan,165.6,2.9
CWUR0000SA0,2000,M02,2000 Feb,166.5,3.4
CWUR0000SA0,2000,M03,2000 Mar,167.9,4.0
CWUR0000SA0,2000,M04,2000 Apr,168.0,3.3
CWUR0000SA0,2000,M05,2000 May,168.2,3.3
CWUR0000SA0,2000,M06,2000 Jun,169.2,3.9
CWUR0000SA0,2000,M07,2000 Jul,169.4,3.7
CWUR0000SA0,2000,M08,2000 Aug,169.3,3.4
CWUR0000SA0,2000,M09,2000 Sep,170.4,3.5
CWUR0000SA0,2000,M10,2000 Oct,170.6,3.4
CWUR0000SA0,2000,M11,2000 Nov,170.9,3.5
CWUR0000SA0,2000,M12,2000 Dec,170.7,3.4
CWUR0000SA0,2001,M01,2001 Jan,171.7,3.7
CWUR0000SA0,2001,M02,2001 Feb,172.4,3.5
CWUR0000SA0,2001,M03,2001 Mar,172.6,2.8
CWUR0000SA0,2001,M04,2001 Apr,173.5,3.3
CWUR0000SA0,2001,M05,2001 May,174.4,3.7
CWUR0000SA0,2001,M06,2001 Jun,174.6,3.2
CWUR0000SA0,2001,M07,2001 Jul,173.8,2.6
CWUR0000SA0,2001,M08,2001 Aug,173.8,2.7
CWUR0000SA0,2001,M09,2001 Sep,174.8,2.6
CWUR0000SA0,2001,M10,2001 Oct,174.0,2.0
CWUR0000SA0,2001,M11,2001 Nov,173.7,1.6
CWUR0000SA0,2001,M12,2001 Dec,172.9,1.3
CWUR0000SA0,2002,M01,2002 Jan,173.2,0.9
CWUR0000SA0,2002,M02,2002 Feb,173.7,0.8
CWUR0000SA0,2002,M03,2002 Mar,174.7,1.2
CWUR0000SA0,2002,M04,2002 Apr,175.8,1.3
CWUR0000SA0,2002,M05,2002 May,175.8,0.8
CWUR0000SA0,2002,M06,2002 Jun,175.9,0.7
CWUR0000SA0,2002,M07,2002 Jul,176.1,1.3
CWUR0000SA0,2002,M08,2002 Aug,176.6,1.6
CWUR0000SA0,2002,M09,2002 Sep,177.0,1.3
CWUR0000SA0,2002,M10,2002 Oct,177.3,1.9
CWUR0000SA0,2002,M11,2002 Nov,177.4,2.1
CWUR0000SA0,2002,M12,2002 Dec,177.0,2.4
CWUR0000SA0,2003,M01,2003 Jan,177.7,2.6
CWUR0000SA0,2003,M02,2003 Feb,179.2,3.2
CWUR0000SA0,2003,M03,2003 Mar,180.3,3.2
CWUR0000SA0,2003,M04,2003 Apr,179.8,2.3
CWUR0000SA0,2003,M05,2003 May,179.4,2.0
CWUR0000SA0,2003,M06,2003 Jun,179.6,2.1
CWUR0000SA0,2003,M07,2003 Jul,179.6,2.0
CWUR0000SA0,2003,M08,2003 Aug,180.3,2.1
CWUR0000SA0,2003,M09,2003 Sep,181.0,2.3
CWUR0000SA0,2003,M10,2003 Oct,180.7,1.9
CWUR0000SA0,2003,M11,2003 Nov,180.2,1.6
CWUR0000SA0,2003,M12,2003 Dec,179.9,1.6
CWUR0000SA0,2004,M01,2004 Jan,180.9,1.8
CWUR0000SA0,2004,M02,2004 Feb,181.9,1.5
CWUR0000SA0,2004,M03,2004 Mar,182.9,1.4
CWUR0000SA0,2004,M04,2004 Apr,183.5,2.1
CWUR0000SA0,2004,M05,2004 May,184.7,3.0
CWUR0000SA0,2004,M06,2004 Jun,185.3,3.2
