Series ID,Year,Period,Label,Value,1-Month % Change,12-Month % Change
WPU00000000,2000,M01,2000 Jan,128.3,0.4,4.4
WPU00000000,2000,M02,2000 Feb,129.8,1.2,6.1
WPU00000000,2000,M03,2000 Mar,130.8,0.8,6.7
WPU00000000,2000,M04,2000 Apr,130.7,-0.1,5.7
WPU00000000,2000,M05,2000 May,131.6,0.7,5.5
WPU00000000,2000,M06,2000 Jun,133.8,1.7,6.9
WPU00000000,2000,M07,2000 Jul,133.7,-0.1,6.4
WPU00000000,2000,M08,2000 Aug,132.9,-0.6,4.7
WPU00000000,2000,M09,2000 Sep,134.7,1.4,5.2
WPU00000000,2000,M10,2000 Oct,135.4,0.5,6.0
WPU00000000,2000,M11,2000 Nov,135.0,-0.3,5.2
WPU00000000,2000,M12,2000 Dec,136.2,0.9,6.6
WPU00000000,2001,M01,2001 Jan,140.0,2.8,9.1
WPU00000000,2001,M02,2001 Feb,137.4,-1.9,5.9
WPU00000000,2001,M03,2001 Mar,135.9,-1.1,3.9
WPU00000000,2001,M04,2001 Apr,136.4,0.4,4.4
WPU00000000,2001,M05,2001 May,136.8,0.3,4.0
WPU00000000,2001,M06,2001 Jun,135.5,-1.0,1.3
WPU00000000,2001,M07,2001 Jul,133.4,-1.5,-0.2
WPU00000000,2001,M08,2001 Aug,133.4,0.0,0.4
WPU00000000,2001,M09,2001 Sep,133.3,-0.1,-1.0
WPU00000000,2001,M10,2001 Oct,130.3,-2.3,-3.8
WPU00000000,2001,M11,2001 Nov,129.8,-0.4,-3.9
WPU00000000,2001,M12,2001 Dec,128.1,-1.3,-5.9
WPU00000000,2002,M01,2002 Jan,128.5,0.3,-8.2
WPU00000000,2002,M02,2002 Feb,128.4,-0.1,-6.6
WPU00000000,2002,M03,2002 Mar,129.8,1.1,-4.5
WPU00000000,2002,M04,2002 Apr,130.8,0.8,-4.1
WPU00000000,2002,M05,2002 May,130.8,0.0,-4.4
