Date,Value,12-Month % Change
1/1/00,168.8,2.7
2/1/00,169.8,3.2
3/1/00,171.2,3.8
4/1/00,171.3,3.1
5/1/00,171.5,3.2
6/1/00,172.4,3.7
7/1/00,172.8,3.7
8/1/00,172.8,3.4
9/1/00,173.7,3.5
10/1/00,174,3.4
11/1/00,174.1,3.4
12/1/00,174,3.4
1/1/01,175.1,3.7
2/1/01,175.8,3.5
3/1/01,176.2,2.9
4/1/01,176.9,3.3
5/1/01,177.7,3.6
6/1/01,178,3.2
7/1/01,177.5,2.7
8/1/01,177.5,2.7
9/1/01,178.3,2.6
10/1/01,177.7,2.1
11/1/01,177.4,1.9
12/1/01,176.7,1.6
1/1/02,177.1,1.1
2/1/02,177.8,1.1
3/1/02,178.8,1.5
4/1/02,179.8,1.6
5/1/02,179.8,1.2
6/1/02,179.9,1.1
7/1/02,180.1,1.5
8/1/02,180.7,1.8
9/1/02,181,1.5
10/1/02,181.3,2
11/1/02,181.3,2.2
12/1/02,180.9,2.4
1/1/03,181.7,2.6
2/1/03,183.1,3
3/1/03,184.2,3
4/1/03,183.8,2.2
5/1/03,183.5,2.1
6/1/03,183.7,2.1
7/1/03,183.9,2.1
8/1/03,184.6,2.2
9/1/03,185.2,2.3
10/1/03,185,2
11/1/03,184.5,1.8
12/1/03,184.3,1.9
1/1/04,185.2,1.9
2/1/04,186.2,1.7
3/1/04,187.4,1.7
4/1/04,188,2.3
5/1/04,189.1,3.1
6/1/04,189.7,3.3
7/1/04,189.4,3
8/1/04,189.5,2.7
9/1/04,189.9,2.5
10/1/04,190.9,3.2
11/1/04,191,3.5
12/1/04,190.3,3.3
1/1/05,190.7,3
2/1/05,191.8,3
3/1/05,193.3,3.1
4/1/05,194.6,3.5
5/1/05,194.4,2.8
6/1/05,194.5,2.5
7/1/05,195.4,3.2
8/1/05,196.4,3.6
9/1/05,198.8,4.7
10/1/05,199.2,4.3
11/1/05,197.6,3.5
12/1/05,196.8,3.4
1/1/06,198.3,4
2/1/06,198.7,3.6
