Date,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI)
1/1/2000,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381
1/2/2000,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381
1/3/2000,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381
1/4/2000,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381
1/5/2000,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381
1/6/2000,-0.17225244,0.073399416,-0.247039283,0.095887952,1.222271839,0.567221381
1/7/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/8/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/9/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/10/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/11/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/12/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/13/2000,-0.182076453,0.049372464,-0.252533144,0.082133057,1.269985822,0.570699586
1/14/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/15/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/16/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/17/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/18/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/19/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/20/2000,-0.193312943,0.023867579,-0.25713603,0.066667367,1.308608262,0.57484043
1/21/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/22/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/23/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/24/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/25/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/26/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/27/2000,-0.203636231,0.003723041,-0.260235076,0.051094754,1.338095836,0.579707533
1/28/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
1/29/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
1/30/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
1/31/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
2/1/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
2/2/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
2/3/2000,-0.210963324,-0.011259708,-0.26081003,0.037827789,1.356887596,0.585355064
2/4/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/5/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/6/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/7/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/8/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/9/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/10/2000,-0.212837546,-0.021184246,-0.258270506,0.028579298,1.365956377,0.591820267
2/11/2000,-0.210597803,-0.027582915,-0.253030326,0.023956073,1.364355045,0.599117918
2/12/2000,-0.210597803,-0.027582915,-0.253030326,0.023956073,1.364355045,0.599117918
2/13/2000,-0.210597803,-0.027582915,-0.253030326,0.023956073,1.364355045,0.599117918
